regime,scorer,metric,mean,sd
A_prevalence_only,combined,hit_at_10,0.059,0.0016
A_prevalence_only,combined,mrr,0.0428,0.0014
A_prevalence_only,combined,n_rows_with_pos,200.0,0.0
A_prevalence_only,combined,pooled_auc,0.8663,0.0062
A_prevalence_only,combined,rho_col_p,0.9653,0.007
A_prevalence_only,lig_oracle,hit_at_10,0.0498,0.0014
A_prevalence_only,lig_oracle,mrr,0.0294,0.0006
A_prevalence_only,lig_oracle,n_rows_with_pos,200.0,0.0
A_prevalence_only,lig_oracle,pooled_auc,0.5,0.001
A_prevalence_only,lig_oracle,rho_col_p,-0.0119,0.0666
A_prevalence_only,prior,hit_at_10,0.0956,0.0052
A_prevalence_only,prior,mrr,0.0492,0.0019
A_prevalence_only,prior,n_rows_with_pos,200.0,0.0
A_prevalence_only,prior,pooled_auc,0.8967,0.0067
A_prevalence_only,prior,rho_col_p,0.9716,0.0053
B_prevalence_plus_ligand,combined,hit_at_10,0.4965,0.0241
B_prevalence_plus_ligand,combined,mrr,0.2169,0.0132
B_prevalence_plus_ligand,combined,n_rows_with_pos,199.96,0.1979
B_prevalence_plus_ligand,combined,pooled_auc,0.8902,0.0095
B_prevalence_plus_ligand,combined,rho_col_p,0.8271,0.0215
B_prevalence_plus_ligand,lig_oracle,hit_at_10,0.4817,0.0227
B_prevalence_plus_ligand,lig_oracle,mrr,0.1704,0.0097
B_prevalence_plus_ligand,lig_oracle,n_rows_with_pos,199.96,0.1979
B_prevalence_plus_ligand,lig_oracle,pooled_auc,0.7239,0.0103
B_prevalence_plus_ligand,lig_oracle,rho_col_p,-0.0119,0.0666
B_prevalence_plus_ligand,prior,hit_at_10,0.1303,0.0122
B_prevalence_plus_ligand,prior,mrr,0.0617,0.0041
B_prevalence_plus_ligand,prior,n_rows_with_pos,199.96,0.1979
B_prevalence_plus_ligand,prior,pooled_auc,0.7314,0.0123
B_prevalence_plus_ligand,prior,rho_col_p,0.8514,0.0193
